icao,max_dim,dims,twarda,godziny,noc,ils,paliwo_jet,prog_baza,prog_kons
EPCE,2500,"[(2500, 60)]",1,MON-FRI 0630-1430 (0530-1330),1,1,1,1,1
EPDA,600,"[(600, 30)]",1,MON-THU 0600-1430 (0500-1330) FRI 0600-1200 (0500-1100),1,1,1,0,0
EPDE,2500,"[(2500, 60)]",1,,1,1,1,1,1
EPIR,2000,"[(2000, 60)]",1,,1,1,1,1,1
EPKS,2500,"[(2500, 60)]",1,,1,1,1,1,1
EPLK,3000,"[(3000, 60)]",1,H24,1,1,1,1,1
EPLY,2500,"[(2500, 60)]",1,MON-FRI 0630-1430 (0530-1330),1,1,1,1,1
EPMB,2500,"[(2500, 50)]",1,,1,1,1,1,1
EPMI,2500,"[(2500, 45)]",1,,1,1,1,1,1
EPMM,2500,"[(2500, 80)]",1,,1,1,1,1,1
EPOK,2500,"[(2500, 60), (910, 100), (790, 30)]",1,MON-THU 0600-1430 (0500-1330) FRI 0600-1200 (0500-1100),1,1,1,1,1
EPPR,1166,"[(1166, 45)]",1,MON-FRI 0630-1430 (0530-1330),1,1,0,1,1
EPPW,3514,"[(3514, 60), (2727, 30)]",1,MON-FRI 0630-1430 (0530-1330),1,1,1,1,1
EPSN,2500,"[(2500, 60)]",1,MON-FRI 0630-1430 (0530-1330),1,1,1,1,1
EPTM,2000,"[(2000, 60)]",1,MON-FRI 0630-1430 (0530-1330),1,1,1,1,1
