year,voivodeship_from,voivodeship_to,product_code,services,censored_below_5
2020,Dolnośląskie,Dolnośląskie,5.09.03.0000170,2208,0
2020,Dolnośląskie,Dolnośląskie,5.09.05.0000004,20,0
2020,Lubuskie,Dolnośląskie,5.09.03.0000170,,1
2020,Lubuskie,Dolnośląskie,5.09.05.0000004,,1
2020,Małopolskie,Dolnośląskie,5.09.03.0000170,,1
2020,Małopolskie,Dolnośląskie,5.09.05.0000004,,1
2020,Opolskie,Dolnośląskie,5.09.03.0000170,,1
2020,Śląskie,Dolnośląskie,5.09.03.0000170,,1
2020,Świętokrzyskie,Dolnośląskie,5.09.03.0000170,,1
2020,Wielkopolskie,Dolnośląskie,5.09.03.0000170,51,0
2020,Wielkopolskie,Dolnośląskie,5.09.05.0000004,,1
2020,Kujawsko-pomorskie,Kujawsko-pomorskie,5.09.03.0000170,481,0
2020,Kujawsko-pomorskie,Kujawsko-pomorskie,5.09.05.0000004,,1
2020,Pomorskie,Kujawsko-pomorskie,5.09.05.0000004,,1
2020,Wielkopolskie,Kujawsko-pomorskie,5.09.03.0000170,,1
2020,Lubelskie,Lubelskie,5.09.03.0000170,732,0
2020,Lubelskie,Lubelskie,5.09.05.0000004,9,0
2020,Małopolskie,Lubelskie,5.09.03.0000170,,1
2020,Mazowieckie,Lubelskie,5.09.03.0000170,14,0
2020,Mazowieckie,Lubelskie,5.09.05.0000004,,1
2020,Podkarpackie,Lubelskie,5.09.03.0000170,18,0
2020,Podkarpackie,Lubelskie,5.09.05.0000004,,1
2020,Podlaskie,Lubelskie,5.09.05.0000004,,1
2020,Warmińsko-mazurskie,Lubelskie,5.09.05.0000004,,1
2020,Wielkopolskie,Lubelskie,5.09.03.0000170,,1
2020,Dolnośląskie,Lubuskie,5.09.03.0000170,29,0
2020,Dolnośląskie,Lubuskie,5.09.05.0000004,,1
2020,Lubuskie,Lubuskie,5.09.03.0000170,584,0
2020,Lubuskie,Lubuskie,5.09.05.0000004,,1
2020,Wielkopolskie,Lubuskie,5.09.03.0000170,17,0
2020,Zachodniopomorskie,Lubuskie,5.09.03.0000170,,1
2020,Kujawsko-pomorskie,Łódzkie,5.09.05.0000004,,1
2020,Łódzkie,Łódzkie,5.09.03.0000170,778,0
2020,Łódzkie,Łódzkie,5.09.05.0000004,5,0
2020,Małopolskie,Łódzkie,5.09.03.0000170,,1
2020,Mazowieckie,Łódzkie,5.09.03.0000170,,1
2020,Śląskie,Łódzkie,5.09.03.0000170,,1
